,restaurants,rating,distance,review_count,address,poi_id
0,gramercy-tavern-new-york,4.5,3691.4062805411586,3377,42 E 20th St,veq1Bl1DW3UWMekZJUsG1Q
1,rubirosa-new-york-2,4.5,1922.0346803084792,3120,235 Mulberry St,WG639VkTjmK5dzydd1BBJA
2,julianas-brooklyn-3,4.5,318.8762608116642,2676,19 Old Fulton St,ysqgdbSrezXgVwER2kQWKA
3,eleven-madison-park-new-york,4.5,4062.929570044286,2433,11 Madison Ave,nRO136GRieGtxz18uD61DA
4,don-angie-new-york,4.5,3646.541688095945,752,103 Greenwich Ave,h37t9rA06Sr4EetJjKrfzw
5,up-thai-new-york,4.5,7785.659824008887,2998,1411 2nd Ave,-OixbLnFLCzQclxCSbUQ8w
6,anytime-kitchen-new-york-2,4.5,4736.528034255248,2698,23 W 32nd St,VvsZAnEwU4c8Xkyrzx05Nw
7,la-grande-boucherie-new-york-2,4.5,6447.196690217016,2439,145 W 53rd St,DGhWO1sUWydVeR5j5ZZaMw
8,manhatta-new-york,4.5,1262.2789968123395,637,28 Liberty St,ypqK8DWM8Bcs43YveSJnNw
9,dutch-freds-new-york-2,4.5,6170.953313394009,2010,307 W 47th St,SaYTVG7wHCMDBofHCgXPaA
10,fish-cheeks-new-york,4.5,2242.4252176048417,1371,55 Bond St,WJS06XxRdc6DD1s4LWE9HA
11,prince-street-pizza-new-york-2,4.5,1950.7368390479296,5008,27 Prince St,zj8Lq1T8KIC5zwFief15jg
12,le-bernardin-new-york,4.5,6316.639756903092,2913,155 W 51st St,vRrVSB-LegwUwIxpkeRVtQ
13,bua-thai-ramen-and-robata-grill-new-york,4.5,8604.910580262833,2335,1611 2nd Ave,-Q8MYIWoE4EsGQtudIOY0w
14,ippudo-ny-new-york-7,4.0,2842.911241534329,10641,65 4th Ave,44SY464xDHbvOcjDzRbKkQ
15,wayla-new-york,4.5,1425.1367257566037,641,100 Forsyth St,liZmIO0FqZwslLJfLDkfgw
16,l-artusi-new-york,4.5,3262.979446879521,2344,228 W 10th St,rp8S7scxOkVVeG7dNneMGQ
17,crown-shy-new-york-2,4.0,1143.6309631425356,557,70 Pine St,_0WFGjXuenlBixOlbSlGeQ
18,del-friscos-double-eagle-steakhouse-new-york,4.0,6075.034318538869,3417,1221 Ave Of The Americas,b8a-8u_A51v2IzyjLVsx6w
19,burger-and-lobster-flatiron-nyc-new-york,4.0,3838.3269495519226,5881,39 W 19th St,UA2M9QFZghe-9th2KwLoWQ
20,au-cheval-new-york-7,4.5,1543.7961312091595,838,33 Cortlandt Aly,__EvomQ2tE1NtkWn32WEXg
21,ayza-wine-and-chocolate-bar-new-york-6,4.0,4669.442394652953,2115,11 W 31st St,srhEv1OqoK9W5JRdiMWDyw
22,ocean-prime-new-york,4.5,6354.80734967912,797,123 W 52nd St,3Gz07E5YJjDTJPSuzsAStQ
23,daniel-new-york-4,4.5,7186.313714915634,1865,60 E 65th St,DZaN3bNWfwcm__sNw5bvDg
24,traif-brooklyn,4.5,3036.8343313177033,2034,229 S 4th St,qLLxS7RwNEjP_jq_KQrPfA
25,le-coucou-new-york,4.0,1588.5172935450066,699,138 Lafayette St,obFs12x7mgYPGxgalBd22w
26,marc-forgione-new-york-2,4.5,1775.8377525676901,1006,134 Reade St,DRitJoNGTkHXZvH_YpLIAw
27,chili-new-york,4.5,5056.7305975835625,677,13 E 37th St,h0pRCiJDrCN7tm3VX5tILQ
28,keens-steakhouse-new-york,4.0,5060.288143299038,3114,72 W 36th St,pQuZDnefX038xurT1BhDXA
29,momofuku-ko-new-york-3,4.5,2147.5916980387137,394,8 Extra Pl,GticI2JB8Iw2ktRfLv6aRQ
30,ci-siamo-new-york-5,4.5,5221.626095558641,338,440 West 33rd St,LkV96_buOU_n0br4SBO57w
31,joes-shanghai-new-york-2,4.0,1143.4057924396468,7212,46 Bowery St,0CjK3esfpFcxIopebzjFxA
32,carbone-new-york,4.0,2545.6537892704,1663,181 Thompson St,7_hGsGEkHrjgAiYVjrCFnw
33,the-river-café-brooklyn-3,4.0,191.92832823636888,1284,1 Water St,4XX-zF8h5Lvrr22_tqU6-Q
34,forsythia-new-york-3,4.5,1895.0889813202152,148,9 Stanton St,6eqrk1wCQMww_ejze5gvsg
35,atoboy-new-york,4.5,4316.974372829145,618,43 E 28th St,RYoc4EBUNOtgbg7c32OG9A
36,misi-brooklyn,4.0,2488.4947811982133,659,329 Kent Ave,5k_jwjhdFMPUNWhouGNzuA
37,wayan-new-york-4,4.0,1762.2129884972733,651,20 Spring St,npiIhpcWePbVT3JYEcy3zg
38,beauty-and-essex-new-york-city,4.0,1769.2978508996712,3864,146 Essex St,pfmAcS-g6SiNG0KlLvrqnA
39,carne-mare-new-york-5,4.5,668.3192527737003,221,89 South St,5CuYWr0-cE01HxlBu5Ka6g
40,hanoi-house-new-york,4.5,2559.975200712584,724,119 Saint Marks Pl,bZQryeTD6hIsT6lSUxzSSw
41,the-rag-trader-and-bo-peep-cocktail-and-highball-store-new-york,4.5,5067.720304358689,800,70 W 36th St,qCf1QN11Qdncpqb7PhuyVw
42,thai-diner-new-york,4.0,1690.0745598587491,712,186 Mott St,XgiG7K7ubHsj2JJ-c2sXnw
43,the-flatiron-room-murray-hill-new-york,4.5,5066.590719106051,519,9 E 37th St,Xk3BVvlX-KXh6kJhbClMKw
44,eataly-nyc-flatiron-new-york-3,4.0,4069.6537898789193,6103,200 5th Ave,a0IET3_yCFcO36OqGSsisg
45,clinton-street-baking-company-new-york-5,4.0,1939.170188721576,5764,4 Clinton St,nU4XBdvxDABXqZ6CnB8Dig
46,duane-park-new-york-3,4.5,2159.589741256374,584,308 Bowery,VuR3lhMA80aH42jrBM_C8A
47,valerie-new-york,4.5,5758.012347666175,737,45 W 45th St between 5th & 6th Ave,zRXMvxUX_rOliKZPpkWi_g
48,nerai-new-york,4.5,6346.478371459573,690,55 E 54th St,E9NMNWvV70HV5gB369N0EA
49,tonys-di-napoli-new-york-4,4.0,5712.853931555627,2578,147 W 43rd St,5TX0X8w5ssIACU_pnBEq6g
